,Power-MPP-Engg-Detail Engg-Mechanical-HVAC
,C&H-Heating-Product-Tech Ser-East
,Power-LPP-Engg
,C&W-Chemical-Oprtns-Prdn[Jhagadia]
,TIL-MPP-Engg-Detail Engg-Mechanical-Piping&Layout
,Enviro-Manufacturing-Projects
,CSG-Business Analysis & Market Research
,SolarCorporate-C&H
,C&H-Heating-Product-Solar-Planning
,C&H-Heating-Product-Sales Mktg&Prod Dev-Coil
,Corporate Finance-RTIC
,Enviro-Manufacturing Plant
,C&H-Heating-Project-Savli Facility-Prdn-Maint
,CMG-North&West-Del+MP
,C&H-Heating-Project-Savli Facility-FMG&Administration
,C&H-Services-East-Sales-Steam Engg
,"HR,IR,Admin-HR-C&H"
,"HR,IR,Admin-IR-Corporate"
,C&W-Chemical-Construction Chemical
,C&H-Services-West-Ahmedabad-Heating
,C&H-Services-West-Mumbai-Projects
,C&W-SSG-Sales-South
,C&H-Services-East-Sales-TCA
,C&H-Cooling-Projects-Construct
,"HR,IR,Admin-HR-C&H-Cooling"
,C&H-Heating-Transform Mgmt-Opex
,C&H-Services-Energy Audit
,C&W-SSG-Corporate
,C&W-SSG-R&R-Oprtns-Materl
,C&W-SSG-R&R-Materals
,C&H-Heating-Global Innovation&Emerging Business-Danstoker&Om
,C&H-Services-West -Mumbai-Cooling
,Thermax-TGP
,C&H-Cooling-Tech&Innov-Technical Sales Support
,B&H-UOG-QAC
,C&H-Services-North-Sales-TCA
,C&H-Heating-Product-Tech Ser-HO
,C&W-Chemical-Pulp&Paper-PMG
,Power-LPP-Engg-Commissioning
,C&W-WWS-IPG-Sales-Regional
,RTIC-COE-Advanced Controls
,C&H-Heating-Project-Savli Facility-Prdn-Planning
,C&H-Heating-Product-Solar-Product Engg-Coil
,Enviro-INO-QAC-ESP
,Enviro-Domestic Sales-North
,"HR,IR,Admin-IR-Welfare&Training"
,C&H-Services-Green Business&Solution-Development
,"Corporate Fin-Treasury,Itnl&OSM-Treasury-International"
,C&H-Services-North-Projects
,C&W-WWS-Prdt-Planning
,C&W-SSG-Safety
,C&H-Heating-FM&GS-Chakan Facility
,C&H-Heating-Project-Engg-Special Project
,C&W-Chemical-Construction Chemical-Sales-North
,C&W-Chemical-Construction Chemical-Sales-South
,C&H-Heating-Project-Savli Facility-Prdn-Safety
,C&H-Cooling-Tech Ser-HO-Intl
,C&W-WWS-Safety
,"Corporate Fin-Treasury,Itnl&OSM-Treasury-Investments"
,RTIC-TDC-Solar Thermal
,C&H-Service-Tech Ser-HO
,B&H-Oil/Gas&WH-QAC(Mundara)
,C&W-Chemical-PPG&OFC-Sales-Support
,C&H-Services-Oprtns
,C&W-WWS-Sourcing
